2020-09-13 22:45:10,982: 'f'
2020-09-13 22:45:11,300: 'v'
2020-09-13 22:45:11,527: 'c'
2020-09-13 22:45:11,725: 'v'
2020-09-13 22:45:11,959: 'c'
2020-09-13 22:45:12,092: 'v'
2020-09-13 22:45:12,426: 'f'
2020-09-13 22:45:12,639: 'v'
2020-09-13 22:45:12,812: 'f'
2020-09-13 22:45:12,981: 'v'
2020-09-13 22:45:13,199: 'c'
2020-09-13 22:45:13,333: 'v'
2020-09-13 22:45:37,176: Key.esc
2020-09-13 22:45:38,420: Key.ctrl_l
2020-09-13 22:45:38,714: '\x03'
2020-09-13 22:45:39,643: Key.ctrl_l
2020-09-13 22:45:39,811: '\x03'
2020-09-13 22:45:40,919: Key.ctrl_l
2020-09-13 22:45:41,088: '\x03'
2020-09-13 22:45:41,825: Key.esc
2020-09-13 22:45:44,219: Key.ctrl_l
2020-09-13 22:45:44,472: '\x03'
2020-09-13 22:45:45,123: Key.ctrl_l
2020-09-13 22:45:47,333: 'e'
2020-09-13 22:45:47,564: 'x'
2020-09-13 22:45:49,126: Key.enter
